"iid","pid","gender.iid","wave.iid","match.iid","samerace.iid","age_self.iid","gender.pid","wave.pid","match.pid","samerace.pid","age_self.pid","age_part","race_part","pref_part_att","pref_part_sin","pref_part_int","pref_part_fun","pref_part_amb","pref_part_sha","dec_part","part_att","part_sin","part_int","part_fun","part_amb","part_sha","part_lik","part_prob","part_met","age_self"
10,18,0,1,0,1,26,1,1,0,1,27,1,0,18.33,-3.89,-3.89,-28.89,1.11,17.22,0,1,0,0,2,1,NA,2,1,0,-1
10,19,0,1,1,1,26,1,1,1,1,28,2,0,35,-15,10,-30,-10,10,0,-2,-2,-2,-2,-3,-3,-2,-1,0,-2
10,20,0,1,0,1,26,1,1,0,1,24,-2,0,85,-15,-15,-40,-10,-5,-1,-3,-3,-2,-4,-2,-2,-2,-3,0,2
2,11,0,1,0,1,24,1,1,0,1,27,3,0,-10,15,-5,0,0,0,0,3,0,-2,5,1,1,1,-2,0,-3
2,12,0,1,0,1,24,1,1,0,1,22,-2,0,15,-5,-25,20,0,-5,0,-1,1,4,0,-3,-1,1,1,0,2
2,13,0,1,0,0,24,1,1,0,0,22,-2,2,-26,13,-6,-2,14,7,1,5,2,1,4,7,6,4,3,0,2
2,14,0,1,1,1,24,1,1,1,1,23,-1,0,-15,0,-10,20,5,0,0,2,0,2,3,4,2,2,-1,0,1
2,15,0,1,0,0,24,1,1,0,0,24,0,1,-15,5,-5,-10,10,15,1,4,2,3,1,0,0,2,-5,0,0
2,16,0,1,0,1,24,1,1,0,1,25,1,0,5,-5,5,-10,0,5,1,-1,1,-1,2,1,5,1,0,0,-1
2,17,0,1,0,1,24,1,1,0,1,30,6,0,-10,10,0,-10,5,5,-1,-2,-2,-5,-3,-2,-6,-4,-4,0,-6
2,18,0,1,0,1,24,1,1,0,1,27,3,0,-11.67,6.11,-13.89,-8.89,11.11,17.22,1,2,-1,0,2,-2,0,2,0,0,-3
2,19,0,1,1,1,24,1,1,1,1,28,4,0,5,-5,0,-10,0,10,0,1,0,1,0,4,2,3,2,0,-4
2,20,0,1,0,1,24,1,1,0,1,24,0,0,55,-5,-25,-20,0,-5,-1,0,-2,-1,0,0,-1,-2,2,0,0
3,11,0,1,0,1,25,1,1,0,1,27,2,0,0,10,-15,10,-10,5,0,0,-1,-4,-2,0,-5,-3,-5,0,-2
3,12,0,1,0,1,25,1,1,0,1,22,-3,0,25,-10,-35,30,-10,0,0,-3,0,1,-2,-3,-2,-1,-4,0,3
3,13,0,1,0,0,25,1,1,0,0,22,-3,2,-16,8,-16,8,4,12,1,3,1,1,3,1,3,2,3,0,3
3,14,0,1,0,1,25,1,1,0,1,23,-2,0,-5,-5,-20,30,-5,5,1,-2,2,-1,1,-1,1,-1,0,0,2
3,15,0,1,0,0,25,1,1,0,0,24,-1,1,-5,0,-15,0,0,20,1,-3,0,-2,-4,NA,NA,-3,NA,0,1
3,16,0,1,0,1,25,1,1,0,1,25,0,0,15,-10,-5,0,-10,10,1,-1,-4,-4,-1,-3,-3,-2,NA,0,0
3,17,0,1,0,1,25,1,1,0,1,30,5,0,0,5,-10,0,-5,10,0,-2,-6,-5,-3,-2,-5,-6,-5,0,-5
3,18,0,1,0,1,25,1,1,0,1,27,2,0,-1.67,1.11,-23.89,1.11,1.11,22.22,0,-3,-4,-3,-4,-3,-3,-3,-6,0,-2
3,19,0,1,0,1,25,1,1,0,1,28,3,0,15,-10,-10,0,-10,15,1,-2,-2,-3,-1,-2,-2,-2,0,0,-3
3,20,0,1,0,1,25,1,1,0,1,24,-1,0,65,-10,-35,-10,-10,0,0,-3,-1,-1,-2,-1,-1,-3,-2,0,1
4,11,0,1,0,1,23,1,1,0,1,27,4,0,15,0,0,0,-10,-5,0,2,-3,0,2,-1,-2,0,-4,0,-4
4,12,0,1,0,1,23,1,1,0,1,22,-1,0,40,-20,-20,20,-10,-10,0,-2,-2,2,-4,-1,-3,-2,2,0,1
4,13,0,1,0,0,23,1,1,0,0,22,-1,2,-1,-2,-1,-2,4,2,1,6,3,2,2,4,3,6,9,NA,1
4,14,0,1,1,1,23,1,1,1,1,23,0,0,10,-15,-5,20,-5,-5,0,-1,-3,0,-1,2,-1,0,0,0,0
4,15,0,1,0,0,23,1,1,0,0,24,1,1,10,-10,0,-10,0,10,1,2,-1,1,-1,0,0,2,0,0,-1
4,16,0,1,0,1,23,1,1,0,1,25,2,0,30,-20,10,-10,-10,0,1,1,-4,-1,3,0,5,2,3,0,-2
4,17,0,1,0,1,23,1,1,0,1,30,7,0,15,-5,5,-10,-5,0,1,0,-4,-7,-2,-4,0,1,3,0,-7
4,18,0,1,0,1,23,1,1,0,1,27,4,0,13.33,-8.89,-8.89,-8.89,1.11,12.22,0,1,-2,-1,1,-3,-2,1,1,0,-4
4,19,0,1,1,1,23,1,1,1,1,28,5,0,30,-20,5,-10,-10,5,0,-2,-1,-3,0,2,2,0,0,0,-5
4,20,0,1,0,1,23,1,1,0,1,24,1,0,80,-20,-20,-20,-10,-10,-1,-1,-1,-2,-3,0,-1,-3,-1,0,-1
5,11,0,1,0,1,21,1,1,0,1,27,6,0,15,15,-5,-5,-10,-10,0,1,0,0,6,5,4,-1,0,0,-6
5,12,0,1,0,1,21,1,1,0,1,22,1,0,40,-5,-25,15,-10,-15,0,-2,1,4,2,1,0,1,0,0,-1
5,13,0,1,0,0,21,1,1,0,0,22,1,2,-1,13,-6,-7,4,-3,1,6,4,2,2,4,5,4,5,0,-1
5,14,0,1,1,1,21,1,1,1,1,23,2,0,10,0,-10,15,-5,-10,0,-2,3,1,1,3,1,-1,5,0,-2
5,15,0,1,0,0,21,1,1,0,0,24,3,1,10,5,-5,-15,0,5,0,-1,2,2,2,5,-3,-2,3,0,-3
5,16,0,1,0,1,21,1,1,0,1,25,4,0,30,-5,5,-15,-10,-5,-1,0,2,0,2,0,-1,-1,4,0,-4
5,17,0,1,0,1,21,1,1,0,1,30,9,0,15,10,0,-15,-5,-5,-1,-4,-3,-4,-1,0,-3,-3,0,0,-9
5,18,0,1,0,1,21,1,1,0,1,27,6,0,13.33,6.11,-13.89,-13.89,1.11,7.22,-1,0,0,-1,-1,-2,0,0,1,0,-6
5,19,0,1,1,1,21,1,1,1,1,28,7,0,30,-5,0,-15,-10,0,0,-2,4,2,1,2,-3,-2,3,0,-7
5,20,0,1,0,1,21,1,1,0,1,24,3,0,80,-5,-25,-25,-10,-15,-1,-6,4,0,-2,4,0,-6,7,0,-3
6,11,0,1,0,0,23,1,1,0,0,27,4,-2,25,-5,0,-5,-5,-10,-1,1,0,1,3,1,-2,1,-2,0,-4
6,12,0,1,0,0,23,1,1,0,0,22,-1,-2,50,-25,-20,15,-5,-15,-1,0,-1,1,0,-1,4,0,-2,0,1
6,13,0,1,0,1,23,1,1,0,1,22,-1,0,9,-7,-1,-7,9,-3,1,6,3,1,6,7,8,4,8,0,1
6,14,0,1,1,0,23,1,1,1,0,23,0,-2,20,-20,-5,15,0,-10,0,-2,2,1,-1,7,0,-2,3,0,0
6,15,0,1,0,0,23,1,1,0,0,24,1,-1,20,-15,0,-15,5,5,1,4,3,1,-1,5,4,5,-1,0,-1
6,16,0,1,0,0,23,1,1,0,0,25,2,-2,40,-25,10,-15,-5,-5,1,3,-1,2,7,7,6,4,4,0,-2
6,17,0,1,0,0,23,1,1,0,0,30,7,-2,25,-10,5,-15,0,-5,-1,-3,-2,0,-4,2,0,-5,-4,0,-7
6,18,0,1,0,0,23,1,1,0,0,27,4,-2,23.33,-13.89,-8.89,-13.89,6.11,7.22,0,2,-1,-1,5,0,2,2,1,0,-4
6,19,0,1,1,0,23,1,1,1,0,28,5,-2,40,-25,5,-15,-5,0,0,-1,1,-1,-2,0,-3,-3,0,0,-5
6,20,0,1,0,0,23,1,1,0,0,24,1,-2,90,-25,-20,-25,-5,-15,-1,-1,1,1,-3,0,0,-3,-1,0,-1
7,11,0,1,0,0,22,1,1,0,0,27,5,-2,20,5,-5,0,-15,-5,0,3,0,0,3,0,3,0,0,0,-5
7,12,0,1,0,0,22,1,1,0,0,22,0,-2,45,-15,-25,20,-15,-10,1,1,3,2,2,-3,1,1,1,0,0
7,13,0,1,0,1,22,1,1,0,1,22,0,0,4,3,-6,-2,-1,2,1,7,4,2,3,2,2,3,2,NA,0
7,14,0,1,1,0,22,1,1,1,0,23,1,-2,15,-10,-10,20,-10,-5,0,1,0,1,1,2,3,0,1,0,-1
7,15,0,1,0,0,22,1,1,0,0,24,2,-1,15,-5,-5,-10,-5,10,1,4,0,2,2,1,0,3,-2,1,-2
7,16,0,1,0,0,22,1,1,0,0,25,3,-2,35,-15,5,-10,-15,0,1,4,0,1,2,1,2,2,2,0,-3
7,17,0,1,0,0,22,1,1,0,0,30,8,-2,20,0,0,-10,-10,0,-1,0,-1,-3,-3,-3,-4,-3,-3,0,-8
7,18,0,1,0,0,22,1,1,0,0,27,5,-2,18.33,-3.89,-13.89,-8.89,-3.89,12.22,1,3,0,-2,2,-2,0,2,-2,0,-5
7,19,0,1,1,0,22,1,1,1,0,28,6,-2,35,-15,0,-10,-15,5,0,3,1,1,1,1,4,3,3,0,-6
7,20,0,1,0,0,22,1,1,0,0,24,2,-2,85,-15,-25,-20,-15,-10,-1,-1,0,1,-1,0,1,0,2,0,-2
8,11,0,1,0,1,25,1,1,0,1,27,2,0,25.91,1.82,-7.27,1.82,-18.18,-4.09,-1,3,-1,-1,2,-1,0,3,-1,0,-2
8,12,0,1,1,1,25,1,1,1,1,22,-3,0,50.91,-18.18,-27.27,21.82,-18.18,-9.09,0,0,1,3,-2,0,-2,1,-3,0,3
8,13,0,1,1,0,25,1,1,1,0,22,-3,2,9.91,-0.18,-8.27,-0.18,-4.18,2.91,0,5,2,2,4,3,3,5,5,0,3
8,14,0,1,1,1,25,1,1,1,1,23,-2,0,20.91,-13.18,-12.27,21.82,-13.18,-4.09,0,0,2,3,2,2,2,3,1,0,2
8,15,0,1,1,0,25,1,1,1,0,24,-1,1,20.91,-8.18,-7.27,-8.18,-8.18,10.91,0,3,1,0,4,NA,0,3,2,0,1
8,16,0,1,1,1,25,1,1,1,1,25,0,0,40.91,-18.18,2.73,-8.18,-18.18,0.91,0,2,-1,-1,2,2,0,1,1,0,0
8,17,0,1,0,1,25,1,1,0,1,30,5,0,25.91,-3.18,-2.27,-8.18,-13.18,0.91,-1,0,-3,-1,0,-1,-3,-2,-2,0,-5
8,18,0,1,1,1,25,1,1,1,1,27,2,0,24.24,-7.07,-16.16,-7.07,-7.07,13.13,0,4,2,1,4,2,-1,2,1,0,-2
8,19,0,1,1,1,25,1,1,1,1,28,3,0,40.91,-18.18,-2.27,-8.18,-18.18,5.91,0,0,-1,3,1,0,1,1,-2,0,-3
8,20,0,1,1,1,25,1,1,1,1,24,-1,0,90.91,-18.18,-27.27,-18.18,-18.18,-9.09,0,1,4,1,2,-1,0,0,1,0,1
9,11,0,1,0,0,26,1,1,0,0,27,1,-4,15,10,0,-10,-10,-5,-1,-2,-2,-2,0,0,-1,1,-1,0,-1
9,12,0,1,1,0,26,1,1,1,0,22,-4,-4,40,-10,-20,10,-10,-10,0,-2,-2,0,-3,-4,-5,-2,-1,0,4
9,13,0,1,1,0,26,1,1,1,0,22,-4,-2,-1,8,-1,-12,4,2,0,5,0,0,4,4,4,2,5,0,4
9,14,0,1,1,0,26,1,1,1,0,23,-3,-4,10,-5,-5,10,-5,-5,0,-3,-1,-1,0,1,0,0,2,0,3
9,15,0,1,1,0,26,1,1,1,0,24,-2,-3,10,0,0,-20,0,10,0,2,-1,0,1,2,2,2,3,0,2
9,16,0,1,1,0,26,1,1,1,0,25,-1,-4,30,-10,10,-20,-10,0,0,-2,-3,-2,1,1,2,0,0,0,1
9,17,0,1,1,0,26,1,1,1,0,30,4,-4,15,5,5,-20,-5,0,0,2,-2,-2,2,0,-1,1,-1,0,-4
9,18,0,1,0,0,26,1,1,0,0,27,1,-4,13.33,1.11,-8.89,-18.89,1.11,12.22,-1,1,0,-1,0,-3,-1,0,0,0,-1
9,19,0,1,1,0,26,1,1,1,0,28,2,-4,30,-10,5,-20,-10,5,0,-2,1,1,1,1,1,-1,0,0,-2
9,20,0,1,0,0,26,1,1,0,0,24,-2,-4,80,-10,-20,-30,-10,-10,-1,-2,-2,-1,-2,-1,-2,-2,1,0,2
21,40,0,2,0,1,21,1,2,0,1,25,4,0,13,2,5,4,-6,-18,0,-3,2,3,-3,-1,0,-5,0,1,-4
21,41,0,2,0,1,21,1,2,0,1,30,9,0,18,2,-10,14,-16,-8,0,0,-3,-2,0,-4,NA,-2,NA,0,-9
21,42,0,2,0,1,21,1,2,0,1,23,2,0,8,7,0,-1,-6,-8,-1,-5,1,1,-3,2,-4,-3,4,NA,-2
21,43,0,2,0,0,21,1,2,0,0,24,3,-2,13,17,10,-6,-16,-18,0,-1,-3,-2,0,-3,-1,-1,1,0,-3
21,44,0,2,0,0,21,1,2,0,0,24,3,-2,13,-3,5,9,-1,-3,1,-1,0,0,1,0,5,2,7,0,-3
21,45,0,2,0,0,21,1,2,0,0,28,7,-2,13,-3,5,-1,-16,2,1,1,0,0,1,1,2,2,5,0,-7
21,46,0,2,0,0,21,1,2,0,0,26,5,-2,8,17,0,-6,-6,-13,0,0,-1,2,2,1,3,0,4,0,-5
21,47,0,2,0,0,21,1,2,0,0,30,9,-2,8,2,5,9,-11,-13,1,5,-2,-1,1,-2,4,0,5,0,-9
21,48,0,2,0,0,21,1,2,0,0,22,1,-2,18,-3,5,9,-11,-18,0,-4,1,-2,0,2,0,-2,1,0,-1
21,49,0,2,0,1,21,1,2,0,1,25,4,0,8,2,0,4,-11,-3,-1,-3,-2,-2,-5,-3,-4,-3,1,0,-4
21,50,0,2,0,0,21,1,2,0,0,27,6,-3,23,-8,0,-1,-6,-8,0,0,1,1,NA,NA,NA,1,6,0,-6
21,51,0,2,0,0,21,1,2,0,0,23,2,-2,13,-8,15,-1,-16,-3,0,-5,4,2,-1,-2,0,3,2,0,-2
21,52,0,2,0,0,21,1,2,0,0,21,0,-2,3,2,-5,14,-11,-3,0,1,-2,0,1,-1,4,0,2,0,0
21,53,0,2,0,0,21,1,2,0,0,28,7,-2,28,-3,0,-6,-11,-8,0,0,0,1,0,0,4,1,6,0,-7
21,54,0,2,0,0,21,1,2,0,0,28,7,-2,28,2,0,4,-16,-18,0,-1,-1,0,1,-1,3,-1,4,0,-7
21,55,0,2,0,0,21,1,2,0,0,23,2,-3,8,7,5,-6,-6,-8,0,0,-1,1,-1,0,0,-2,3,0,-2
22,40,0,2,0,0,27,1,2,0,0,25,-2,3,5,0,5,10,0,-20,0,-1,3,1,2,-1,-1,-3,-3,0,2
22,41,0,2,0,0,27,1,2,0,0,30,3,3,10,0,-10,20,-10,-10,0,1,-2,-1,-1,-2,NA,2,NA,0,-3
22,42,0,2,0,0,27,1,2,0,0,23,-4,3,0,5,0,5,0,-10,0,-2,0,2,0,-1,-2,-1,-1,0,4
22,43,0,2,0,0,27,1,2,0,0,24,-3,1,5,15,10,0,-10,-20,0,-1,-2,-2,-2,-2,-2,1,-1,0,3
22,44,0,2,1,0,27,1,2,1,0,24,-3,1,5,-5,5,15,5,-5,0,0,-1,-2,-1,1,-1,0,-1,0,3
22,45,0,2,1,0,27,1,2,1,0,28,1,1,5,-5,5,5,-10,0,0,1,0,0,1,0,-1,0,-1,0,-1
22,46,0,2,0,0,27,1,2,0,0,26,-1,1,0,15,0,0,0,-15,-1,-3,1,-2,-2,0,-2,-2,1,0,1
22,47,0,2,0,0,27,1,2,0,0,30,3,1,0,0,5,15,-5,-15,1,NA,-2,-1,-1,0,-2,-1,2,0,-3
22,48,0,2,0,0,27,1,2,0,0,22,-5,1,10,-5,5,15,-5,-20,-1,-3,-1,-1,-2,NA,-3,-2,-3,0,5
22,49,0,2,0,0,27,1,2,0,0,25,-2,3,0,0,0,10,-5,-5,0,1,1,0,2,0,NA,2,1,0,2
22,50,0,2,0,1,27,1,2,0,1,27,0,0,15,-10,0,5,0,-10,-1,1,2,0,-1,NA,NA,1,1,NA,0
22,51,0,2,0,0,27,1,2,0,0,23,-4,1,5,-10,15,5,-10,-5,0,-1,-2,-2,-2,-2,-1,0,0,0,4
22,52,0,2,0,0,27,1,2,0,0,21,-6,1,-5,0,-5,20,-5,-5,0,1,0,0,1,0,1,2,0,0,6
22,53,0,2,0,0,27,1,2,0,0,28,1,1,20,-5,0,0,-5,-10,-1,-1,1,0,1,1,-2,-1,0,0,-1
22,54,0,2,0,0,27,1,2,0,0,28,1,1,20,0,0,10,-10,-20,0,0,2,2,2,1,1,2,2,0,-1
22,55,0,2,0,1,27,1,2,0,1,23,-4,0,0,5,5,0,0,-10,-1,-1,1,2,0,3,1,0,1,0,4
23,40,0,2,0,1,21,1,2,0,1,25,4,0,15,0,-15,10,0,-10,-1,0,-3,-3,1,-2,-4,-7,-5,0,-4
23,41,0,2,0,1,21,1,2,0,1,30,9,0,20,0,-30,20,-10,0,0,3,1,1,2,2,NA,-2,NA,0,-9
23,42,0,2,0,1,21,1,2,0,1,23,2,0,10,5,-20,5,0,0,-1,0,4,2,2,3,NA,1.5,3,0,-2
23,43,0,2,1,0,21,1,2,1,0,24,3,-2,15,15,-10,0,-10,-10,0,-1,-1,-3,-2,-3,-5,-1,-2,-1,-3
23,44,0,2,1,0,21,1,2,1,0,24,3,-2,15,-5,-15,15,5,5,0,1,1,1,4,1,-1,-1,-2,0,-3
23,45,0,2,1,0,21,1,2,1,0,28,7,-2,15,-5,-15,5,-10,10,0,1,1,0,0,-1,1,0,2,0,-7
23,46,0,2,0,0,21,1,2,0,0,26,5,-2,10,15,-20,0,0,-5,-1,-1,2,2,1,1,3,1,1,0,-5
23,47,0,2,0,0,21,1,2,0,0,30,9,-2,10,0,-15,15,-5,-5,1,0,0,-1,-2,1,-2,0,0,0,-9
23,48,0,2,0,0,21,1,2,0,0,22,1,-2,20,-5,-15,15,-5,-10,0,-2,0,0,-4,-3,-2,-3,-3,0,-1
23,49,0,2,0,1,21,1,2,0,1,25,4,0,10,0,-20,10,-5,5,-1,0,1,2,-1,1,-4,-2,-1,0,-4
23,50,0,2,0,0,21,1,2,0,0,27,6,-3,25,-10,-20,5,0,0,-1,-1,NA,0,-2,NA,NA,0,NA,0,-6
23,51,0,2,0,0,21,1,2,0,0,23,2,-2,15,-10,-5,5,-10,5,0,-3,0,-1,-3,-3,-3,-4,1,0,-2
23,52,0,2,0,0,21,1,2,0,0,21,0,-2,5,0,-25,20,-5,5,0,1,1,1,-1,1,-1,-1,-3,0,0
23,53,0,2,0,0,21,1,2,0,0,28,7,-2,30,-5,-20,0,-5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7
23,54,0,2,0,0,21,1,2,0,0,28,7,-2,30,0,-20,10,-10,-10,1,0,0,1,1,4,2,1,1,0,-7
23,55,0,2,0,0,21,1,2,0,0,23,2,-3,10,5,-15,0,0,0,0,0,1,3,2,3,2,1,2,0,-2
24,40,0,2,0,0,27,1,2,0,0,25,-2,2,15,0,5,5,-10,-15,0,0,4,2,2,1,NA,-4,0,0,2
24,41,0,2,0,0,27,1,2,0,0,30,3,2,20,0,-10,15,-20,-5,0,-2,-3,NA,NA,-3,NA,-3,NA,0,-3
24,42,0,2,0,0,27,1,2,0,0,23,-4,2,10,5,0,0,-10,-5,0,1,-2,NA,2,NA,NA,-4,-4,0,4
24,43,0,2,0,1,27,1,2,0,1,24,-3,0,15,15,10,-5,-20,-15,0,-2,-3,-2,-4,NA,NA,-2,0,0,3
24,44,0,2,0,1,27,1,2,0,1,24,-3,0,15,-5,5,10,-5,0,1,0,-1,0,NA,0,2,1,-1,0,3
24,45,0,2,0,1,27,1,2,0,1,28,1,0,15,-5,5,0,-20,5,1,-1,-1,-2,NA,-3,NA,-3,0,0,-1
24,46,0,2,0,1,27,1,2,0,1,26,-1,0,10,15,0,-5,-10,-10,-1,-2,0,1,0,NA,1,0,-2,0,1
24,47,0,2,0,1,27,1,2,0,1,30,3,0,10,0,5,10,-15,-10,1,1,-1,-1,-2,-1,-3,-1,-1,0,-3
24,48,0,2,0,1,27,1,2,0,1,22,-5,0,20,-5,5,10,-15,-15,0,-1,1,1,-3,NA,NA,-2,-3,0,5
24,49,0,2,0,0,27,1,2,0,0,25,-2,2,10,0,0,5,-15,0,1,1,NA,NA,-3,NA,1,1,-1,0,2
24,50,0,2,0,0,27,1,2,0,0,27,0,-1,25,-10,0,0,-10,-5,1,1,NA,NA,1,NA,NA,1.5,0,0,0
24,51,0,2,0,1,27,1,2,0,1,23,-4,0,15,-10,15,0,-20,0,1,1,-1,-1,-1,-2,NA,-1,-5,0,4
24,52,0,2,0,1,27,1,2,0,1,21,-6,0,5,0,-5,15,-15,0,0,3,NA,NA,-1,-2,-5,-3,-4,0,6
24,53,0,2,0,1,27,1,2,0,1,28,1,0,30,-5,0,-5,-15,-5,-1,0,NA,NA,1,-1,-1,-1,0,0,-1
24,54,0,2,0,1,27,1,2,0,1,28,1,0,30,0,0,5,-20,-15,1,2,-1,NA,-1,-1,0,0,-1,0,-1
24,55,0,2,0,0,27,1,2,0,0,23,-4,-1,10,5,5,-5,-10,-5,1,0,2,2,NA,NA,4,2,2,0,4
25,40,0,2,0,0,25,1,2,0,0,25,0,2,5,0,10,5,-5,-15,0,1,2,0,3,0,-1,-3,-3,0,0
25,41,0,2,0,0,25,1,2,0,0,30,5,2,10,0,-5,15,-15,-5,1,0,-3,-3,-1,-3,NA,-2,NA,0,-5
25,42,0,2,0,0,25,1,2,0,0,23,-2,2,0,5,5,0,-5,-5,1,2,2,-1,0,-4,NA,1,1,0,2
25,43,0,2,0,1,25,1,2,0,1,24,-1,0,5,15,15,-5,-15,-15,1,4,0,-4,2,-5,-3,2,-4,0,1
25,44,0,2,0,1,25,1,2,0,1,24,-1,0,5,-5,10,10,0,0,1,1,-1,-3,0,-4,1,2,2,0,1
25,45,0,2,0,1,25,1,2,0,1,28,3,0,5,-5,10,0,-15,5,1,1,-2,-1,2,-2,-1,0,2,0,-3
25,46,0,2,0,1,25,1,2,0,1,26,1,0,0,15,5,-5,-5,-10,1,3,0,-1,2,-3,2,1.5,-1,-1,-1
25,47,0,2,0,1,25,1,2,0,1,30,5,0,0,0,10,10,-10,-10,1,3,-1,-4,-3,-5,-3,-2,1,0,-5
25,48,0,2,0,1,25,1,2,0,1,22,-3,0,10,-5,10,10,-10,-15,1,2,0,-1,0,NA,-1,1,1,0,3
25,49,0,2,0,0,25,1,2,0,0,25,0,2,0,0,5,5,-10,0,1,1,0,-2,0,-3,-3,-1,-4,0,0
25,50,0,2,0,0,25,1,2,0,0,27,2,-1,15,-10,5,0,-5,-5,1,-2,NA,NA,NA,NA,NA,0,0,0,-2
25,51,0,2,0,1,25,1,2,0,1,23,-2,0,5,-10,20,0,-15,0,0,0,-1,-1,-1,-8,-6,-3,-4,0,2
25,52,0,2,0,1,25,1,2,0,1,21,-4,0,-5,0,0,15,-10,0,1,3,3,0,2,-3,-1,2,-1,0,4
25,53,0,2,0,1,25,1,2,0,1,28,3,0,20,-5,5,-5,-10,-5,1,2,0,-1,1,0,2,1,1,0,-3
25,54,0,2,0,1,25,1,2,0,1,28,3,0,20,0,5,5,-15,-15,1,3,1,1,3,-2,-1,1,-2,0,-3
25,55,0,2,0,0,25,1,2,0,0,23,-2,-1,0,5,10,-5,-5,-5,1,1,2,1,2,1,2,2,1,0,2
26,40,0,2,0,0,23,1,2,0,0,25,2,2,5,0,5,5,-5,-10,0,6,4,4,5,2,2,1,-1,0,-2
26,41,0,2,0,0,23,1,2,0,0,30,7,2,10,0,-10,15,-15,0,1,3,0,0,2,0,NA,3,NA,0,-7
26,42,0,2,0,0,23,1,2,0,0,23,0,2,0,5,0,0,-5,0,1,5,3,3,6,1,NA,4,2,0,0
26,43,0,2,0,1,23,1,2,0,1,24,1,0,5,15,10,-5,-15,-10,1,4,-1,0,4,-2,0,3,1,0,-1
26,44,0,2,0,1,23,1,2,0,1,24,1,0,5,-5,5,10,0,5,1,5,-1,0,2,1,3,4,3,0,-1
26,45,0,2,0,1,23,1,2,0,1,28,5,0,5,-5,5,0,-15,10,1,3,-1,2,6,2,4,6,5,0,-5
26,46,0,2,0,1,23,1,2,0,1,26,3,0,0,15,0,-5,-5,-5,1,3,5,4,4,2,4,3.5,2,0,-3
26,47,0,2,0,1,23,1,2,0,1,30,7,0,0,0,5,10,-10,-5,1,2,-1,0,2,0,4,4,4,0,-7
26,48,0,2,0,1,23,1,2,0,1,22,-1,0,10,-5,5,10,-10,-10,1,3,3,2,2,NA,5,5,4,0,1
26,49,0,2,0,0,23,1,2,0,0,25,2,2,0,0,0,5,-10,5,1,4,0,-1,0,0,2,3,1,0,-2
26,50,0,2,0,0,23,1,2,0,0,27,4,-1,15,-10,0,0,-5,0,1,1,NA,NA,NA,NA,NA,0,2,0,-4
26,51,0,2,0,1,23,1,2,0,1,23,0,0,5,-10,15,0,-15,5,1,1,-4,-1,0,-3,-4,0,2,0,0
