"iid","gender","wave","pid","match","samerace","age_part","race_part","pref_part_att","pref_part_sin","pre_part_int","pre_part_fun","pre_part_amb","pre_part_sha","dec_part","part_att","part_sin","part_int","part_fun","part_amb","part_sha","part_lik","part_prob","part_met","age_self"
3,0,1,20,0,1,24,2,100,0,0,0,0,0,0,5,6,8,5,8,6,5,5,2,25
4,0,1,11,0,1,27,2,35,20,20,20,0,5,0,6,7,8,7,7,5,6,3,2,23
4,0,1,12,0,1,22,2,60,0,0,40,0,0,0,6,5,10,6,6,5,6,3,1,23
4,0,1,13,0,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,NA,23
4,0,1,14,1,1,23,2,30,5,15,40,5,5,1,7,7,7,9,9,9,8,10,1,23
4,0,1,15,0,0,24,3,30,10,20,10,10,20,1,8,8,9,8,8,9,9,7,2,23
4,0,1,16,0,1,25,2,50,0,30,10,0,10,1,6,6,7,7,8,7,6,6,2,23
4,0,1,17,0,1,30,2,35,15,25,10,5,10,1,7,6,3,5,6,5,6,4,2,23
4,0,1,18,0,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,6,7,8,6,6,5,7,7,2,23
4,0,1,19,1,1,28,2,50,0,25,10,0,15,1,7,7,7,10,9,10,8,8,2,23
4,0,1,20,0,1,24,2,100,0,0,0,0,0,0,7,8,8,7,8,7,7,7,2,23
5,0,1,11,0,1,27,2,35,20,20,20,0,5,0,6,8,8,8,7,6,6,5,2,21
5,0,1,12,0,1,22,2,60,0,0,40,0,0,0,6,7,10,7,6,5,7,4,1,21
5,0,1,13,0,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,1,21
5,0,1,14,1,1,23,2,30,5,15,40,5,5,1,6,8,6,8,10,10,7,7,1,21
5,0,1,15,0,0,24,3,30,10,20,10,10,20,0,5,9,9,7,9,5,5,7,2,21
5,0,1,16,0,1,25,2,50,0,30,10,0,10,0,5,8,7,7,7,7,6,7,2,21
5,0,1,17,0,1,30,2,35,15,25,10,5,10,0,2,3,4,4,5,3,3,3,2,21
5,0,1,18,0,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,5,5,6,5,5,5,6,5,2,21
5,0,1,19,1,1,28,2,50,0,25,10,0,15,1,5,9,9,9,9,6,7,7,2,21
5,0,1,20,0,1,24,2,100,0,0,0,0,0,0,3,10,7,7,10,5,4,10,2,21
6,0,1,11,0,0,27,2,35,20,20,20,0,5,0,7,9,8,9,8,4,7,4,2,23
6,0,1,12,0,0,22,2,60,0,0,40,0,0,0,6,8,10,6,7,6,7,4,2,23
6,0,1,13,0,1,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,1,23
6,0,1,14,1,0,23,2,30,5,15,40,5,5,1,6,8,8,7,9,8,7,7,2,23
6,0,1,15,0,0,24,3,30,10,20,10,10,20,1,9,7,9,7,9,6,9,2,1,23
6,0,1,16,0,0,25,2,50,0,30,10,0,10,1,6,6,8,8,8,7,6,6,2,23
6,0,1,17,0,0,30,2,35,15,25,10,5,10,0,5,6,8,4,5,4,3,3,2,23
6,0,1,18,0,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,6,7,8,7,8,5,7,6,2,23
6,0,1,19,1,0,28,2,50,0,25,10,0,15,1,6,7,7,6,6,6,6,6,2,23
6,0,1,20,0,0,24,2,100,0,0,0,0,0,0,7,10,10,6,10,7,6,7,2,23
7,0,1,11,0,0,27,2,35,20,20,20,0,5,0,7,8,8,8,7,7,7,4,2,22
7,0,1,12,0,0,22,2,60,0,0,40,0,0,1,7,9,10,6,6,5,8,4,1,22
7,0,1,13,0,1,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,NA,22
7,0,1,14,1,0,23,2,30,5,15,40,5,5,1,8,8,9,8,9,9,8,7,1,22
7,0,1,15,0,0,24,3,30,10,20,10,10,20,1,8,7,9,6,9,5,8,4,2,22
7,0,1,16,0,0,25,2,50,0,30,10,0,10,1,8,8,8,6,6,6,7,7,2,22
7,0,1,17,0,0,30,2,35,15,25,10,5,10,0,7,6,5,4,4,3,5,4,2,22
7,0,1,18,0,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,1,8,7,6,7,7,5,7,5,2,22
7,0,1,19,1,0,28,2,50,0,25,10,0,15,1,9,7,9,9,9,10,9,9,2,22
7,0,1,20,0,0,24,2,100,0,0,0,0,0,0,7,6,8,6,8,7,7,7,2,22
8,0,1,11,0,1,27,2,35,20,20,20,0,5,0,8,7,6,6,6,5,7,4,2,25
8,0,1,12,1,1,22,2,60,0,0,40,0,0,1,8,8,10,7,6,5,9,4,2,25
8,0,1,13,1,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,25
8,0,1,14,1,1,23,2,30,5,15,40,5,5,1,8,8,8,8,8,7,8,7,2,25
8,0,1,15,1,0,24,3,30,10,20,10,10,20,1,9,9,8,9,NA,7,9,7,2,25
8,0,1,16,1,1,25,2,50,0,30,10,0,10,1,8,7,7,7,8,7,7,6,2,25
8,0,1,17,0,1,30,2,35,15,25,10,5,10,0,6,4,7,5,6,4,4,4,2,25
8,0,1,18,1,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,1,9,8,8,8,7,5,7,5,2,25
8,0,1,19,1,1,28,2,50,0,25,10,0,15,1,8,7,8,10,8,10,8,8,2,25
8,0,1,20,1,1,24,2,100,0,0,0,0,0,1,8,10,9,9,8,8,8,8,2,25
9,0,1,11,0,0,27,2,35,20,20,20,0,5,0,6,8,7,8,7,5,6,4,2,26
9,0,1,12,1,0,22,2,60,0,0,40,0,0,1,8,8,10,7,6,5,8,4,2,26
9,0,1,13,1,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,26
9,0,1,14,1,0,23,2,30,5,15,40,5,5,1,7,8,7,8,8,7,7,7,2,26
9,0,1,15,1,0,24,3,30,10,20,10,10,20,1,7,9,8,9,7,7,7,8,2,26
9,0,1,16,1,0,25,2,50,0,30,10,0,10,1,6,6,7,8,7,7,6,5,2,26
9,0,1,17,1,0,30,2,35,15,25,10,5,10,1,8,6,7,8,6,5,8,4,2,26
9,0,1,18,0,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,7,7,7,7,6,5,7,5,2,26
9,0,1,19,1,0,28,2,50,0,25,10,0,15,1,6,6,6,7,6,6,6,6,2,26
9,0,1,20,0,0,24,2,100,0,0,0,0,0,0,5,6,6,6,6,6,6,6,2,26
10,0,1,11,0,1,27,2,35,20,20,20,0,5,0,7,8,7,8,6,5,6,3,2,26
10,0,1,12,0,1,22,2,60,0,0,40,0,0,0,1,1,1,1,1,1,1,1,2,26
10,0,1,13,1,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,26
10,0,1,14,0,1,23,2,30,5,15,40,5,5,1,7,8,7,9,8,8,7,7,1,26
10,0,1,15,0,0,24,3,30,10,20,10,10,20,1,6,9,9,7,8,NA,6,6,2,26
10,0,1,16,0,1,25,2,50,0,30,10,0,10,0,NA,8,7,7,7,7,6,6,2,26
10,0,1,17,0,1,30,2,35,15,25,10,5,10,0,7,7,4,3,4,4,3,6,2,26
10,0,1,18,0,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,6,6,6,6,6,5,7,6,2,26
10,0,1,19,1,1,28,2,50,0,25,10,0,15,1,7,7,7,7,6,6,7,8,2,26
10,0,1,20,0,1,24,2,100,0,0,0,0,0,0,6,6,6,6,6,6,7,7,2,26
11,1,1,1,0,0,21,4,15,20,20,15,15,15,1,6,9,7,7,6,5,7,6,2,27
11,1,1,2,0,1,24,2,45,5,25,20,0,5,0,5,7,8,4,6,3,6,4,2,27
11,1,1,3,0,1,25,2,35,10,35,10,10,0,0,7,9,10,7,8,9,8,7,1,27
11,1,1,4,0,1,23,2,20,20,20,20,10,10,0,4,10,8,5,8,7,6,7,2,27
11,1,1,5,0,1,21,2,20,5,25,25,10,15,0,5,8,8,2,2,2,7,5,2,27
11,1,1,6,0,0,23,4,10,25,20,25,5,15,1,6,9,7,6,7,6,6,6,2,27
11,1,1,7,0,0,22,4,15,15,25,20,15,10,0,4,8,8,5,7,4,7,4,2,27
11,1,1,8,0,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,5,8,7,4,7,5,4,5,2,27
11,1,1,9,0,0,26,6,20,10,20,30,10,10,1,8,10,9,8,7,6,5,5,2,27
11,1,1,10,0,1,26,2,15,15,15,40,10,5,0,6,10,10,6,6,NA,6,3,2,27
12,1,1,1,0,0,21,4,15,20,20,15,15,15,1,7,8,7,8,5,6,7,5,1,22
12,1,1,2,0,1,24,2,45,5,25,20,0,5,0,8,5,6,6,9,6,7,3,2,22
12,1,1,3,0,1,25,2,35,10,35,10,10,0,0,9,7,9,8,9,7,8,7,2,22
12,1,1,4,0,1,23,2,20,20,20,20,10,10,0,8,7,8,10,7,8,8,1,1,22
12,1,1,5,0,1,21,2,20,5,25,25,10,15,0,8,6,6,5,5,5,6,4,1,22
12,1,1,6,0,0,23,4,10,25,20,25,5,15,1,6,9,9,6,8,2,7,6,2,22
12,1,1,7,0,0,22,4,15,15,25,20,15,10,0,6,6,8,4,9,4,7,3,1,22
12,1,1,8,1,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,8,7,7,9,6,7,8,7,2,22
12,1,1,9,1,0,26,6,20,10,20,30,10,10,1,10,10,10,10,10,10,10,5,2,22
12,1,1,10,0,1,26,2,15,15,15,40,10,5,0,1,1,1,1,1,NA,1,1,1,22
13,1,1,1,1,1,21,4,15,20,20,15,15,15,1,5,8,9,8,5,7,7,NA,1,22
13,1,1,2,0,0,24,2,45,5,25,20,0,5,0,5,8,9,6,3,4,6,7,2,22
13,1,1,3,0,0,25,2,35,10,35,10,10,0,0,7,9,9,7,9,7,8,7,2,22
13,1,1,4,0,0,23,2,20,20,20,20,10,10,0,4,7,8,8,6,7,4,1,2,22
13,1,1,5,0,0,21,2,20,5,25,25,10,15,0,4,6,8,8,6,5,6,5,1,22
13,1,1,6,0,1,23,4,10,25,20,25,5,15,0,4,7,9,4,3,2,6,2,1,22
13,1,1,7,0,1,22,4,15,15,25,20,15,10,0,3,6,8,7,8,8,7,8,1,22
13,1,1,8,1,0,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,5,8,8,6,7,7,5,5,2,22
13,1,1,9,1,0,26,6,20,10,20,30,10,10,1,5,10,10,6,6,6,8,5,2,22
13,1,1,10,1,0,26,2,15,15,15,40,10,5,1,6,10,10,10,6,NA,7,6,2,22
14,1,1,1,1,0,21,4,15,20,20,15,15,15,1,7,6,8,7,6,8,7,6,2,23
14,1,1,2,1,1,24,2,45,5,25,20,0,5,1,7,9,7,6,5,7,7,8,2,23
14,1,1,3,0,1,25,2,35,10,35,10,10,0,0,9,7,9,7,9,7,8,7,2,23
14,1,1,4,1,1,23,2,20,20,20,20,10,10,1,8,10,7,10,7,10,8,10,1,23
14,1,1,5,1,1,21,2,20,5,25,25,10,15,1,8,5,5,7,7,9,8,2,1,23
14,1,1,6,1,0,23,4,10,25,20,25,5,15,1,8,6,7,8,2,8,9,4,2,23
14,1,1,7,1,0,22,4,15,15,25,20,15,10,1,7,8,8,7,7,6,8,6,1,23
14,1,1,8,1,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,8,6,5,6,6,5,5,6,2,23
14,1,1,9,1,0,26,6,20,10,20,30,10,10,1,10,9,8,8,7,7,7,5,2,23
14,1,1,10,0,1,26,2,15,15,15,40,10,5,0,10,10,10,10,10,NA,10,1,1,23
15,1,1,1,1,0,21,4,15,20,20,15,15,15,1,5,6,7,7,6,6,6,6,2,24
15,1,1,2,0,0,24,2,45,5,25,20,0,5,0,6,8,7,9,7,8,8,6,1,24
15,1,1,3,0,0,25,2,35,10,35,10,10,0,0,9,10,10,10,10,10,9,NA,2,24
15,1,1,4,0,0,23,2,20,20,20,20,10,10,0,6,9,8,9,8,9,7,7,2,24
15,1,1,5,0,0,21,2,20,5,25,25,10,15,0,6,7,7,5,4,8,7,4,2,24
15,1,1,6,0,0,23,4,10,25,20,25,5,15,0,5,4,8,8,4,2,4,3,1,24
15,1,1,7,0,0,22,4,15,15,25,20,15,10,0,4,7,7,4,8,5,5,6,1,24
15,1,1,8,1,0,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,6,8,8,5,6,7,6,5,2,24
15,1,1,9,1,0,26,6,20,10,20,30,10,10,1,5,10,8,8,5,5,5,5,2,24
15,1,1,10,0,0,26,2,15,15,15,40,10,5,0,5,7,7,7,7,NA,6,1,2,24
16,1,1,1,0,0,21,4,15,20,20,15,15,15,0,4,9,7,4,6,4,6,5,2,25
16,1,1,2,0,1,24,2,45,5,25,20,0,5,0,8,7,8,3,6,2,6,5,2,25
16,1,1,3,0,1,25,2,35,10,35,10,10,0,0,8,10,10,7,9,9,8,NA,2,25
16,1,1,4,0,1,23,2,20,20,20,20,10,10,0,5,10,8,4,8,2,4,3,2,25
16,1,1,5,0,1,21,2,20,5,25,25,10,15,1,5,6,7,5,7,8,7,3,2,25
16,1,1,6,0,0,23,4,10,25,20,25,5,15,0,3,7,6,1,1,1,2,2,2,25
16,1,1,7,0,0,22,4,15,15,25,20,15,10,0,4,8,7,4,5,4,5,5,2,25
16,1,1,8,1,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,6,8,8,5,6,7,6,5,2,25
16,1,1,9,1,0,26,6,20,10,20,30,10,10,1,8,9,9,7,6,5,6,5,2,25
16,1,1,10,0,1,26,2,15,15,15,40,10,5,0,5,10,6,4,6,NA,6,1,2,25
17,1,1,1,0,0,21,4,15,20,20,15,15,15,1,7,6,7,4,6,7,6,5,2,30
17,1,1,2,0,1,24,2,45,5,25,20,0,5,1,7,5,9,6,7,9,8,7,2,30
17,1,1,3,0,1,25,2,35,10,35,10,10,0,0,8,9,10,7,7,9,8,7,2,30
17,1,1,4,0,1,23,2,20,20,20,20,10,10,0,7,10,10,7,10,5,5,1,2,30
17,1,1,5,0,1,21,2,20,5,25,25,10,15,1,6,6,8,5,5,6,6,3,2,30
17,1,1,6,0,0,23,4,10,25,20,25,5,15,1,8,8,8,8,3,4,8,7,2,30
17,1,1,7,0,0,22,4,15,15,25,20,15,10,1,7,7,8,7,7,7,8,7,2,30
17,1,1,8,0,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,6,7,8,5,7,7,6,6,2,30
17,1,1,9,1,0,26,6,20,10,20,30,10,10,1,6,8,9,6,6,6,7,5,2,30
17,1,1,10,0,1,26,2,15,15,15,40,10,5,1,5,10,8,6,9,NA,7,1,2,30
18,1,1,1,0,0,21,4,15,20,20,15,15,15,0,4,9,7,6,5,6,6,7,NA,27
18,1,1,2,0,1,24,2,45,5,25,20,0,5,0,5,8,7,5,9,5,5,6,2,27
18,1,1,3,0,1,25,2,35,10,35,10,10,0,0,7,9,9,8,9,7,8,7,2,27
18,1,1,4,0,1,23,2,20,20,20,20,10,10,0,5,9,9,5,9,7,6,6,2,27
18,1,1,5,0,1,21,2,20,5,25,25,10,15,1,5,5,7,6,7,5,6,4,2,27
18,1,1,6,0,0,23,4,10,25,20,25,5,15,0,4,8,9,2,8,3,5,5,2,27
18,1,1,7,0,0,22,4,15,15,25,20,15,10,0,5,7,8,5,9,5,5,7,2,27
18,1,1,8,1,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,5,6,7,4,5,6,5,4,2,27
18,1,1,9,0,0,26,6,20,10,20,30,10,10,1,6,7,8,7,9,6,7,5,2,27
18,1,1,10,0,1,26,2,15,15,15,40,10,5,0,5,6,6,4,5,NA,5,5,2,27
19,1,1,1,1,0,21,4,15,20,20,15,15,15,1,7,6,8,9,8,8,7,7,2,28
19,1,1,2,1,1,24,2,45,5,25,20,0,5,1,7,6,8,9,4,5,5,6,2,28
19,1,1,3,0,1,25,2,35,10,35,10,10,0,0,9,9,9,9,9,9,9,7,2,28
19,1,1,4,1,1,23,2,20,20,20,20,10,10,1,9,8,10,10,7,8,8,8,2,28
19,1,1,5,1,1,21,2,20,5,25,25,10,15,1,7,5,7,8,7,9,9,4,2,28
19,1,1,6,1,0,23,4,10,25,20,25,5,15,1,7,6,8,8,6,9,9,6,2,28
19,1,1,7,1,0,22,4,15,15,25,20,15,10,1,6,6,8,8,8,6,6,6,2,28
19,1,1,8,1,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,8,8,5,9,8,9,7,10,2,28
19,1,1,9,1,0,26,6,20,10,20,30,10,10,1,8,5,5,6,5,5,7,6,2,28
19,1,1,10,1,1,26,2,15,15,15,40,10,5,1,9,9,9,9,9,9,9,9,2,28
20,1,1,1,0,0,21,4,15,20,20,15,15,15,1,5,6,6,8,10,8,6,6,2,24
20,1,1,2,0,1,24,2,45,5,25,20,0,5,1,6,7,8,7,9,8,8,7,2,24
20,1,1,3,0,1,25,2,35,10,35,10,10,0,0,8,7,9,7,9,7,8,7,2,24
20,1,1,4,0,1,23,2,20,20,20,20,10,10,1,8,9,10,10,8,8,10,8,2,24
20,1,1,5,0,1,21,2,20,5,25,25,10,15,1,9,6,7,9,6,5,10,3,2,24
20,1,1,6,0,0,23,4,10,25,20,25,5,15,1,8,9,9,9,10,7,9,8,2,24
20,1,1,7,0,0,22,4,15,15,25,20,15,10,1,8,6,7,7,8,6,7,5,2,24
20,1,1,8,1,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,7,6,8,7,9,8,8,7,2,24
20,1,1,9,0,0,26,6,20,10,20,30,10,10,1,7,8,7,8,7,8,8,5,2,24
20,1,1,10,0,1,26,2,15,15,15,40,10,5,1,9,9,8,10,8,8,9,10,2,24
21,0,2,40,0,1,25,4,25,20,25,20,10,0,0,3,10,10,6,4,7,4,1,2,21
21,0,2,41,0,1,30,4,30,20,10,30,0,10,0,5,5,5,5,5,NA,5,NA,2,21
21,0,2,42,0,1,23,4,20,25,20,15,10,10,0,3,10,9,5,9,2,6,7,2,21
21,0,2,43,0,0,24,2,25,35,30,10,0,0,0,4,5,6,4,6,2,5,2,2,21
21,0,2,44,0,0,24,2,25,15,25,25,15,15,1,6,7,8,6,7,7,8,8,2,21
21,0,2,45,0,0,28,2,25,15,25,15,0,20,1,7,8,8,7,9,6,7,7,2,21
21,0,2,46,0,0,26,2,20,35,20,10,10,5,0,6,7,10,8,9,8,8,6,2,21
21,0,2,47,0,0,30,2,20,20,25,25,5,5,1,9,5,6,5,5,7,5,6,2,21
21,0,2,48,0,0,22,2,30,15,25,25,5,0,0,3,8,5,5,8,3,4,2,2,21
21,0,2,49,0,1,25,4,20,20,20,20,5,15,0,6,7,8,4,6,4,6,6,2,21
21,0,2,50,0,0,27,1,35,10,20,15,10,10,0,5,8,8,NA,NA,NA,7,7,2,21
21,0,2,51,0,0,23,2,25,10,35,15,0,15,0,2,8,8,3,2,2,5,3,2,21
21,0,2,52,0,0,21,2,15,20,15,30,5,15,0,6,6,8,6,7,6,6,3,2,21
21,0,2,53,0,0,28,2,40,15,20,10,5,10,0,6,8,8,7,7,6,7,7,2,21
21,0,2,54,0,0,28,2,40,20,20,20,0,0,0,5,7,7,7,7,5,5,5,2,21
21,0,2,55,0,0,23,1,20,25,25,10,10,10,0,5,8,10,7,9,5,6,6,2,21
22,0,2,40,0,0,25,4,25,20,25,20,10,0,0,4,10,8,8,6,4,3,1,2,27
22,0,2,41,0,0,30,4,30,20,10,30,0,10,0,5,5,5,5,5,NA,5,NA,2,27
22,0,2,42,0,0,23,4,20,25,20,15,10,10,0,3,6,8,5,5,1,2,1,2,27
22,0,2,43,0,0,24,2,25,35,30,10,0,0,0,4,5,5,3,5,1,5,2,2,27
22,0,2,44,1,0,24,2,25,15,25,25,15,15,1,6,7,6,6,8,5,6,5,2,27
22,0,2,45,1,0,28,2,25,15,25,15,0,20,1,7,7,7,5,6,5,6,5,2,27
22,0,2,46,0,0,26,2,20,35,20,10,10,5,0,5,8,5,5,6,5,5,5,2,27
22,0,2,47,0,0,30,2,20,20,25,25,5,5,1,NA,5,6,5,6,3,4,6,2,27
22,0,2,48,0,0,22,2,30,15,25,25,5,0,0,4,6,6,5,NA,3,5,1,2,27
22,0,2,49,0,0,25,4,20,20,20,20,5,15,0,7,8,7,7,7,NA,7,4,2,27
22,0,2,50,0,1,27,1,35,10,20,15,10,10,0,6,8,7,6,NA,NA,7,7,NA,27
22,0,2,51,0,0,23,2,25,10,35,15,0,15,0,2,2,3,2,2,1,2,1,2,27
22,0,2,52,0,0,21,2,15,20,15,30,5,15,0,4,6,7,6,5,5,4,2,2,27
22,0,2,53,0,0,28,2,40,15,20,10,5,10,0,6,8,8,7,8,6,7,5,2,27
22,0,2,54,0,0,28,2,40,20,20,20,0,0,0,4,7,7,6,6,5,6,4,2,27
22,0,2,55,0,1,23,1,20,25,25,10,10,10,0,5,8,9,7,10,8,7,7,2,27
23,0,2,40,0,1,25,4,25,20,25,20,10,0,0,5,4,3,7,4,3,1,1,2,21
23,0,2,41,0,1,30,4,30,20,10,30,0,10,0,8,8,8,8,8,NA,5,NA,2,21
23,0,2,42,0,1,23,4,20,25,20,15,10,10,0,6,10,9,8,9,NA,8,8,2,21
23,0,2,43,1,0,24,2,25,35,30,10,0,0,1,4,6,5,4,3,2,6,4,1,21
23,0,2,44,1,0,24,2,25,15,25,25,15,15,1,8,8,8,10,7,8,8,8,1,21
23,0,2,45,1,0,28,2,25,15,25,15,0,20,1,7,8,7,6,6,6,7,7,2,21
23,0,2,46,0,0,26,2,20,35,20,10,10,5,0,6,8,9,8,8,9,8,6,2,21
23,0,2,47,0,0,30,2,20,20,25,25,5,5,1,5,6,6,4,7,4,6,5,2,21
23,0,2,48,0,0,22,2,30,15,25,25,5,0,0,4,6,6,4,3,3,3,2,2,21
23,0,2,49,0,1,25,4,20,20,20,20,5,15,0,7,8,8,6,7,3,6,5,2,21
23,0,2,50,0,0,27,1,35,10,20,15,10,10,0,5,NA,7,6,NA,NA,7,NA,2,21
23,0,2,51,0,0,23,2,25,10,35,15,0,15,0,4,6,4,1,1,1,2,5,2,21
23,0,2,52,0,0,21,2,15,20,15,30,5,15,0,7,7,6,6,6,5,5,2,2,21
23,0,2,53,0,0,28,2,40,15,20,10,5,10,1,7,8,8,7,8,6,7,6,2,21
23,0,2,54,0,0,28,2,40,20,20,20,0,0,1,6,7,7,7,9,7,7,5,2,21
23,0,2,55,0,0,23,1,20,25,25,10,10,10,0,6,9,10,8,10,7,7,7,2,21
24,0,2,40,0,0,25,4,25,20,25,20,10,0,0,5,10,9,9,8,5,2,3,2,27
24,0,2,41,0,0,30,4,30,20,10,30,0,10,0,5,5,5,5,5,NA,5,NA,2,27
24,0,2,42,0,0,23,4,20,25,20,15,10,10,0,7,6,7,9,8,2,3,1,2,27
24,0,2,43,0,1,24,2,25,35,30,10,0,0,0,5,5,6,4,7,2,5,5,2,27
24,0,2,44,0,1,24,2,25,15,25,25,15,15,1,5,7,8,7,8,8,8,6,2,27
24,0,2,45,0,1,28,2,25,15,25,15,0,20,1,6,6,6,6,5,5,5,6,2,27
24,0,2,46,0,1,26,2,20,35,20,10,10,5,0,7,8,8,8,7,9,8,5,2,27
24,0,2,47,0,1,30,2,20,20,25,25,5,5,1,6,6,6,5,6,4,6,6,2,27
24,0,2,48,0,1,22,2,30,15,25,25,5,0,0,6,8,8,5,NA,3,5,3,2,27
24,0,2,49,0,0,25,4,20,20,20,20,5,15,1,7,7,6,5,6,7,7,4,2,27
24,0,2,50,0,0,27,1,35,10,20,15,10,10,1,7,NA,NA,9,NA,NA,8.5,7,2,27
24,0,2,51,0,1,23,2,25,10,35,15,0,15,1,7,5,7,6,6,6,6,2,2,27
24,0,2,52,0,1,21,2,15,20,15,30,5,15,0,7,7,9,5,6,2,4,2,2,27
24,0,2,53,0,1,28,2,40,15,20,10,5,10,0,8,8,8,8,7,7,7,7,2,27
24,0,2,54,0,1,28,2,40,20,20,20,0,0,1,8,7,8,7,7,8,7,5,2,27
24,0,2,55,0,0,23,1,20,25,25,10,10,10,1,8,9,9,8,8,6,8,6,2,27
25,0,2,40,0,0,25,4,25,20,25,20,10,0,0,8,10,9,9,8,4,3,1,2,25
25,0,2,41,0,0,30,4,30,20,10,30,0,10,1,5,5,5,5,5,NA,5,NA,2,25
25,0,2,42,0,0,23,4,20,25,20,15,10,10,1,8,9,7,7,5,NA,8,6,2,25
25,0,2,43,0,1,24,2,25,35,30,10,0,0,1,8,5,6,6,5,1,6,1,2,25
25,0,2,44,0,1,24,2,25,15,25,25,15,15,1,7,6,6,7,5,4,7,6,2,25
